Transaction creation date,Order number,Net amount,Item title,Quantity,Shipping and handling,Final Value Fee - fixed,Final Value Fee - variable,Gross transaction amount
30-Apr-21,02-06991-88819,34.98,"Viscot Medical Mini XL Pre-Surgical Skin Marker, Model 1450XL 50 Pens",1,0,-0.3,-4.67,39.95
30-Apr-21,16-06986-51233,17.02,Vintage Movie Star Black Size 36 Nightgown Lace Nightie,1,0,-0.3,-2.34,19.99
29-Apr-21,05-06985-83579,21.59,"Rock & Republic Womens Jeans Size 4 ""Kasandra"" Stretch Boot Cut 26 x 32",1,0,-0.3,-3.1,24.99
28-Apr-21,24-06991-90868,25.03,Flemish Art From the Beginning Till Now 1988 by Fonds Mercator Antwerp Illustrat,1,0,-0.3,-4.62,29.95
28-Apr-21,25-06975-21064,11.01,Banana Republic Martin Fit - Casual Stretch Walking Shorts - Size 6 Brown Khaki,1,0,-0.3,-1.64,12.95
27-Apr-21,24-06986-88763,243.73,Verathon GlideScope Spectrum DirectView MAC S3 or S4 Video Laryngoscope,6,35.1,-0.3,-31.01,275.04
26-Apr-21,07-06967-66593,17.35,Neiman Marcus Trim Fit Men's 16 1/2 32/33 Blue & Tan Striped Cotton Dress Shirt,1,0,-0.3,-2.34,19.99
24-Apr-21,11-06957-36233,36.95,Aldo Vero Cuoio Brown Leather Side Zip Square Toe Boots Size 42 8.5 Embossed,1,17.65,-0.3,-5.4,42.65
24-Apr-21,03-06958-16085,126.73,WELCH ALLYN 53130 Single Use Sigmoidoscope (25/Box) ,2,15.41,-0.3,-18.28,145.31
22-Apr-21,13-06948-11864,6.66,1 Box (100) Sterilance Clix Medical Pull-Top 33G Lancets,1,0,-0.3,-0.99,7.95
22-Apr-21,09-06948-50533,13.67,Respironics Ball & Socket Headgear Clips for Comfort Series Masks 2 pack 1009723,2,0,-0.3,-2.01,15.98
21-Apr-21,22-06942-28003,428.91,Dispensing Cabinet Drawer,1,0,-0.3,-62,499.95
19-Apr-21,12-06934-47898,34.6,(50) Non-Latex Biogel Skinsense Synthetic Polychloroprene Surgical Gloves Size 6,1,0,-0.3,-5.05,39.95
19-Apr-21,02-06935-92668,69.5,(50) Non-Latex Biogel Skinsense Synthetic Polychloroprene Surgical Gloves Size 6,2,0,-0.3,-10.1,79.9
18-Apr-21,09-06927-47614,52.07,"Covidien Polysorb Braided Absorbable 2-0 12x18"" 45cm Violet #L-13 (24 pcs)",1,0,-0.3,-7.58,59.95
17-Apr-21,15-06922-29046,19.82,Vintage Avon Summerset Perfume Cologne Spray 1.7oz  50ml Discontinued,1,7.84,-0.3,-2.67,22.79
13-Apr-21,25-06900-69106,44.39,Lot of 5 PrecisionPoint Transperineal Access System Single Use P1001,1,0,-0.3,-5.26,49.95
13-Apr-21,16-06901-94176,25.01,Le Creuset Stackable Stoneware Ramekins Dark Green Set of 2,1,11.95,-0.3,-3.59,28.9
13-Apr-21,16-06899-75046,5.9,Scrapbooking Stickers Lot of 7 Sheets For Scrapbook Crafts New Free Shipping,1,0,-0.3,-0.79,6.99
10-Apr-21,20-06883-20598,20.76,Men's Urban Pipeline Relaxed Straight Dark Wash Jeans - Size 36 x 30,1,8.55,-0.3,-2.48,23.54
9-Apr-21,12-06878-76670,"3,433.32",Omnicell OmniRX RX Medication Dispensing Cabinet Drawer Machine w/ Biometrics,8,0,-0.3,-496.03,"3,999.60"
8-Apr-21,03-06874-36166,326.07,"Bega 9484 Outside Wall Mounted Light Gunmetal Grey Large 23"" Never Installed ",1,169.66,-0.3,-43.24,369.61
7-Apr-21,03-06869-57338,57.18,(5) Lot DELL E-Port Replicator Docking Station E4200 E4300 E5400 E6400 E6500,1,39.45,-0.3,-7.92,65.4
6-Apr-21,06-06865-55563,13.83,"Vtg 1994 Play by Play Plush 11"" NBA Chicago Bulls Cheerleader Bear w/ Pom Poms",1,0,-0.3,-1.86,15.99
4-Apr-21,27-06848-01791,142.4,"Dynavox V Portable Communication Talking Computer System Tested WORKS 8.4"" Scree",1,69,-0.3,-14.24,158.95
4-Apr-21,21-06848-94213,153.11,Dynavox VMax+ Portable Communication Device Speaking Software Computer System,1,80,-0.3,-14.5,169.95
1-Apr-21,17-06836-83673,15.63,DKNY SOHO Jeans Women's Size 6 S Short Black Gray Boot Cut Stretch Pants,1,0,-0.3,-2.06,17.99
1-Apr-21,04-06838-05383,9.4,Wander Beauty Unlashed Volume & Curl Mascara 9g / 0.31oz Full Size in Tarmac,1,0,-0.3,-1.25,10.95
