Transaction creation date,Order number,Net amount,Item title,Quantity,Shipping and handling,Final Value Fee - fixed,Final Value Fee - variable,Gross transaction amount
31-Aug-21,13-07545-70164,285.95,Ten (10) Medrad Stellant Disposable SDS-CTP-SCS 2024-07-23,2,29.24,-0.3,-37.08,329.14
28-Aug-21,14-07530-46468,11.15,"New Black Carved Wood Bamboo Cinnabar Bangle Bracelet 3-1/2"" Across",1,0,-0.3,-1.5,12.95
25-Aug-21,13-07519-36122,63.28,"PURITAN Sterile Foam Tipped Swabs 25-1506 6"" Plastic Handle, 1 Box of 100 ",1,11.58,-0.3,-7.95,71.53
24-Aug-21,27-07513-09904,53.34,Honeywell CCB01-010BT-07F Xenon 1902 Charging Base New,1,0,-0.3,-6.31,59.95
23-Aug-21,27-07508-21307,40.14,Verathon GlideScope Spectrum DirectView MAC S3 or S4 Video Laryngoscope,1,5.6,-0.3,-5.15,45.59
23-Aug-21,22-07508-61421,22.44,Florsheim Mens Black Leather Loafers with Tassels Slip-on Shoes - Size 9-1/2 D,1,9.9,-0.3,-2.73,25.9
23-Aug-21,01-07511-15068,146.31,Key Tronic Lifetime Trackball USB 104-Key Keyboard KeyTronic TRACKBALL-P2,1,15.08,-0.3,-18.42,165.03
21-Aug-21,11-07501-75312,17.59,SL Fashions Womens Gray Silver Metallic Crochet Shift Dress Split Sleeve Sz 12,1,0,-0.3,-2.11,20
18-Aug-21,11-07489-72903,15.47,Detroit Tigers Floppy Hat National Coney Island 50 years Blue & White Rally Time,1,0,-0.3,-2.23,18
18-Aug-21,06-07488-78027,23.17,Vintage Stuffed Print Cloth Doll What Are Little Boys Made Of The Toy Works 1984,1,4.95,-0.3,-3.47,26.94
18-Aug-21,18-07485-90877,329.47,KaVo QUATTROcare Plus Handpiece Maintenance System For Repair,1,71.94,-0.3,-42.17,371.94
14-Aug-21,08-07471-71656,40.2,Verathon GlideScope Spectrum DirectView MAC S3 or S4 Video Laryngoscope,1,5.6,-0.3,-5.09,45.59
13-Aug-21,27-07463-07356,18.17,Homer Laughlin Fiestaware Tangerine Fiesta Tea Coffee Cup And Saucer 7-3/4 oz,1,11.8,-0.3,-2.32,20.79
12-Aug-21,11-07464-52044,19.18,Paco Jeans with Attitude Embroidered Denim Juniors size 5 Boot Cut Dark Wash ,1,0,-0.3,-2.29,21.77
12-Aug-21,01-07464-31785,39.5,Cardinal Health Inoculating Needles N2085-10R Rigid Light Violet 10μL 1000/BX,1,0,-0.3,-5.15,44.95
8-Aug-21,07-07446-05475,25.42,20 Pks Carefusion SmartSite Gravity Set 42233E 60 Drop 104” New Alaris Products,1,10.1,-0.3,-3.33,29.05
6-Aug-21,05-07438-43763,121.19,Verathon GlideScope Spectrum DirectView MAC S3 or S4 Video Laryngoscope,3,16.95,-0.3,-15.43,136.92
6-Aug-21,10-07436-97779,12.8,"Banana Republic Size 10 Jeans Dark Blue Womens 10S Bootcut Denim Jeans In: 29.5""",1,0,-0.3,-1.9,15
6-Aug-21,14-07435-94334,"1,895.70",Physio Control Replacement Kit Charge-Pak Charger QUIK-PAK EXP 8-2023 Cat# 11403,15,0,-0.3,-240.75,"2,136.75"
5-Aug-21,19-07432-40536,15.59,Piloting Seamanship & Small Boat Handling Signed USS Hunter Liggett WWII USCG,1,3.45,-0.3,-2.55,18.44
5-Aug-21,16-07430-50109,445.36,"MedPride Shield Line MPR-97540 CSR Wraps - 40"" x 40"" 250/case Exp: 2024",4,162.45,-0.3,-56.59,502.25
3-Aug-21,13-07425-25663,197.04,New Vintage 1986 G1 My Little Pony So Soft Ponies Wind Whistler Blue Fuzzy,1,23.6,-0.3,-28.76,226.1
2-Aug-21,26-07415-54021,23.48,"WAC Lighting HR-88-WT Low Voltage Round Halogen Button, 12V 20W",1,8.25,-0.3,-3.46,27.24
